Day,Distance
2011-02-28,7.211776194176702
2011-02-18,8.557642413549368
2011-02-11,0.25386400397262116
2011-02-20,3.834407850973202
2011-02-22,6.366944311361059
2011-03-02,5.768319772866703
2011-03-03,1.834949988487001
2011-02-25,6.991305626102888
2011-02-12,0.16787663118572954
2011-02-27,3.534478827077433
2011-02-16,11.669520383097485
2011-02-21,5.321302972821786
2011-02-24,4.321078539247803
2011-02-19,9.089600967578772
2011-02-14,13.679960098907435
2011-02-23,6.782581743830767
2011-02-15,7.204139574720414
2011-03-01,7.80555247521733
2011-02-26,4.9228750240873485
2011-02-17,7.330402093635897
2011-02-13,3.3442831204122023
