Day,Distance (km)
2009-02-18,14.98629429
2009-03-04,3.002662103
2009-02-26,3.313593817
2009-02-21,9.110592355
2009-02-27,9.579687287
2009-02-23,9.20538808
2009-02-19,2.918557429
2009-03-03,2.345820698
2009-03-01,5.709977782
2009-02-20,15.24108411
2009-02-12,3.782047355
2009-02-28,10.04267998
2009-02-24,7.810359582
2009-02-15,3.90865239
2009-02-17,17.65990206
2009-02-11,0.502950703
2009-02-22,11.35453187
2009-02-16,9.410621682
2009-03-02,7.764258098
2009-02-25,6.553489833
2009-02-14,11.70470486
2009-02-13,7.698285145
